"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 22:56:08 AMT 2024","Tue Jul 02 22:56:08 AMT 2024","737","","test_booking","","","","test_GetBookingIds",""
"passed","Tue Jul 02 22:56:02 AMT 2024","Tue Jul 02 22:56:02 AMT 2024","587","","Update Booking Tests","TestBookingUpdate","","","Attempt to Update Booking witth Invaliid conditions","This test verifies that updating a booking with invalid token results the appropriate error response."
"passed","Tue Jul 02 22:56:01 AMT 2024","Tue Jul 02 22:56:01 AMT 2024","593","","Update Booking Tests","TestBookingUpdate","","","Attempt to Update Booking witth Invaliid conditions","This test verifies that updating a booking with invalid token results the appropriate error response."
"passed","Tue Jul 02 22:55:57 AMT 2024","Tue Jul 02 22:55:58 AMT 2024","588","","TEST BOOKING GET - suite","TestBookingGet","","","Test Retrieve Booking By Id","This test case verifies that the system retrieves a specific booking by ID"
"passed","Tue Jul 02 22:56:07 AMT 2024","Tue Jul 02 22:56:08 AMT 2024","1202","","Delete Booking Tests","TestBookingDelete","","","Delete Booking","This test verifies the deletion of a booking by its ID."
"passed","Tue Jul 02 22:55:56 AMT 2024","Tue Jul 02 22:55:57 AMT 2024","736","","TEST BOOKING GET - suite","TestBookingGet","","","Test Retrieve All Bookings","This test case verifies that the system retrieves all bookings"
"passed","Tue Jul 02 22:55:59 AMT 2024","Tue Jul 02 22:56:00 AMT 2024","589","","Update Booking Tests","TestBookingUpdate","","","Update Booking Information","this test verifies that booking information can be successfully updated"
"passed","Tue Jul 02 22:55:58 AMT 2024","Tue Jul 02 22:55:59 AMT 2024","591","","Update Booking Tests","TestBookingUpdate","","","Update Booking Information","this test verifies that booking information can be successfully updated"
"passed","Tue Jul 02 22:56:04 AMT 2024","Tue Jul 02 22:56:05 AMT 2024","1177","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Patch Booking with Various Conditions","This test verifies partial updates to booking information under various conditions."
"passed","Tue Jul 02 22:55:56 AMT 2024","Tue Jul 02 22:55:56 AMT 2024","588","","TEST BOOKING POST - suite","TestBookingPost","","","Test Create Booking","This test case verifies that the system successfully create new booking"
"passed","Tue Jul 02 22:56:02 AMT 2024","Tue Jul 02 22:56:04 AMT 2024","1180","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Patch Booking with Various Conditions","This test verifies partial updates to booking information under various conditions."
"passed","Tue Jul 02 22:56:05 AMT 2024","Tue Jul 02 22:56:06 AMT 2024","585","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Negative Test Cases for Updating Booking","This test verifies that invalid update operations on bookings return appropriate error responses."
"passed","Tue Jul 02 22:56:06 AMT 2024","Tue Jul 02 22:56:06 AMT 2024","593","","Delete Booking Tests","TestBookingDelete","","","Delete Non-Existent Booking","This test verifies that attempting to delete a booking that does not exist returns the appropriate error response."
"passed","Tue Jul 02 22:56:05 AMT 2024","Tue Jul 02 22:56:05 AMT 2024","587","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Negative Test Cases for Updating Booking","This test verifies that invalid update operations on bookings return appropriate error responses."
"passed","Tue Jul 02 22:55:55 AMT 2024","Tue Jul 02 22:55:56 AMT 2024","657","","ping tests","TestBookingGet","","","check booking service ping","This test verifies the ping endpoint  of the booking service to ensure it is up and running"
"passed","Tue Jul 02 22:56:08 AMT 2024","Tue Jul 02 22:56:09 AMT 2024","587","","test_booking","","","","test_GetBooking",""
